"","yield","upper_60_clay_ave","upper_60_silt_ave","upper_60_sand_ave","upper_60_soc_ave"
"yield",1,-0.00531858030332633,-0.00529170556184889,0.00551967807487256,6.79960875565987e-05
"upper_60_clay_ave",-0.00531858030332633,1,0.869795520247697,-0.965699858016072,0.728069475921696
"upper_60_silt_ave",-0.00529170556184889,0.869795520247697,1,-0.968075213698722,0.664871369580733
"upper_60_sand_ave",0.00551967807487256,-0.965699858016072,-0.968075213698722,1,-0.719818328850094
"upper_60_soc_ave",6.79960875565987e-05,0.728069475921696,0.664871369580733,-0.719818328850094,1
