"","yield","upper_60_clay_ave","upper_60_silt_ave","upper_60_sand_ave","upper_60_soc_ave"
"yield",1,-0.0298904296484544,-0.00402875885987359,0.0164703788866193,-0.0205534750008181
"upper_60_clay_ave",-0.0298904296484544,1,0.736333537689306,-0.913105699338485,0.605364607053449
"upper_60_silt_ave",-0.00402875885987359,0.736333537689306,1,-0.948215673642295,0.365696964617703
"upper_60_sand_ave",0.0164703788866193,-0.913105699338485,-0.948215673642295,1,-0.504415745441303
"upper_60_soc_ave",-0.0205534750008181,0.605364607053449,0.365696964617703,-0.504415745441303,1
