"","yield","upper_60_clay_ave","upper_60_silt_ave","upper_60_sand_ave","upper_60_soc_ave"
"yield",1,-0.216855830535719,-0.107198548300388,0.176059641756695,-0.111613339050169
"upper_60_clay_ave",-0.216855830535719,1,0.665620604209489,-0.908077786368123,0.322321331966203
"upper_60_silt_ave",-0.107198548300388,0.665620604209489,1,-0.916974455017343,0.192840143582519
"upper_60_sand_ave",0.176059641756695,-0.908077786368123,-0.916974455017343,1,-0.280347837189304
"upper_60_soc_ave",-0.111613339050169,0.322321331966203,0.192840143582519,-0.280347837189304,1
