"","yield","upper_60_clay_ave","upper_60_silt_ave","upper_60_sand_ave","upper_60_soc_ave"
"yield",1,-0.0885036200796985,-0.0404973933207985,0.0722681957896134,-0.0516927762398492
"upper_60_clay_ave",-0.0885036200796985,1,0.367121925981402,-0.752428524680088,0.0610247513209088
"upper_60_silt_ave",-0.0404973933207985,0.367121925981402,1,-0.888895867946335,0.229325211079158
"upper_60_sand_ave",0.0722681957896134,-0.752428524680088,-0.888895867946335,1,-0.192935509184766
"upper_60_soc_ave",-0.0516927762398492,0.0610247513209088,0.229325211079158,-0.192935509184766,1
